,null_sum,alter_sum
CNO_nubb_only_CJPL_high_nubb0,473.4089969314532,487.05732586216595
CNO_nubb_only_CJPL_high_nubb0.0001,483.87302248677906,497.52135141749176
CNO_nubb_only_CJPL_high_nubb0.001,578.0492524847112,591.6975814154233
CNO_nubb_only_CJPL_high_nubb0.01,1519.81155246403,1533.4598813947423
CNO_nubb_only_CJPL_high_nubb0.1,10937.434552257217,10951.082881187933
CNO_nubb_only_CJPL_high_nubb1,105113.66455018907,105127.31287911984
CNO_nubb_only_CJPL_low_nubb0,461.9927781849252,471.73513712951353
CNO_nubb_only_CJPL_low_nubb0.0001,472.456803740251,482.1991626848392
CNO_nubb_only_CJPL_low_nubb0.001,566.6330337381831,576.3753926827711
CNO_nubb_only_CJPL_low_nubb0.01,1508.395333717502,1518.1376926620899
CNO_nubb_only_CJPL_low_nubb0.1,10926.018333510689,10935.760692455273
CNO_nubb_only_CJPL_low_nubb1,105102.24833144256,105111.99069038713
CNO_nubb_only_Kamioka_high_nubb0,473.41454892627917,487.0628778569919
CNO_nubb_only_Kamioka_high_nubb0.0001,483.87857448160497,497.52690341231767
CNO_nubb_only_Kamioka_high_nubb0.001,578.0548044795371,591.7031334102493
CNO_nubb_only_Kamioka_high_nubb0.01,1519.817104458856,1533.4654333895683
CNO_nubb_only_Kamioka_high_nubb0.1,10937.440104252042,10951.088433182758
CNO_nubb_only_Kamioka_high_nubb1,105113.67010218391,105127.31843111466
CNO_nubb_only_Kamioka_low_nubb0,461.9983301797512,471.7406891243395
CNO_nubb_only_Kamioka_low_nubb0.0001,472.462355735077,482.2047146796652
CNO_nubb_only_Kamioka_low_nubb0.001,566.6385857330091,576.3809446775971
CNO_nubb_only_Kamioka_low_nubb0.01,1508.4008857123279,1518.1432446569158
CNO_nubb_only_Kamioka_low_nubb0.1,10926.023885505514,10935.766244450098
CNO_nubb_only_Kamioka_low_nubb1,105102.25388343738,105111.99624238195
CNO_nubb_only_LNGS_high_nubb0,473.4233693584888,487.07169828920155
CNO_nubb_only_LNGS_high_nubb0.0001,483.88739491381466,497.53572384452735
CNO_nubb_only_LNGS_high_nubb0.001,578.0636249117468,591.711953842459
CNO_nubb_only_LNGS_high_nubb0.01,1519.8259248910656,1533.4742538217781
CNO_nubb_only_LNGS_high_nubb0.1,10937.448924684251,10951.09725361497
CNO_nubb_only_LNGS_high_nubb1,105113.67892261612,105127.32725154687
CNO_nubb_only_LNGS_low_nubb0,462.0071506119608,471.7495095565491
CNO_nubb_only_LNGS_low_nubb0.0001,472.4711761672866,482.2135351118748
CNO_nubb_only_LNGS_low_nubb0.001,566.6474061652187,576.3897651098067
CNO_nubb_only_LNGS_low_nubb0.01,1508.4097061445375,1518.1520650891257
CNO_nubb_only_LNGS_low_nubb0.1,10926.032705937723,10935.775064882308
CNO_nubb_only_LNGS_low_nubb1,105102.2627038696,105112.00506281416
CNO_nubb_only_SURF_high_nubb0,473.43795142499016,487.0862803557029
CNO_nubb_only_SURF_high_nubb0.0001,483.90197698031596,497.55030591102866
CNO_nubb_only_SURF_high_nubb0.001,578.0782069782481,591.7265359089603
CNO_nubb_only_SURF_high_nubb0.01,1519.840506957567,1533.4888358882793
CNO_nubb_only_SURF_high_nubb0.1,10937.463506750753,10951.11183568147
CNO_nubb_only_SURF_high_nubb1,105113.69350468261,105127.34183361338
CNO_nubb_only_SURF_low_nubb0,462.0217326784622,471.7640916230505
CNO_nubb_only_SURF_low_nubb0.0001,472.485758233788,482.2281171783762
CNO_nubb_only_SURF_low_nubb0.001,566.6619882317201,576.4043471763081
CNO_nubb_only_SURF_low_nubb0.01,1508.4242882110389,1518.1666471556268
CNO_nubb_only_SURF_low_nubb0.1,10926.047288004225,10935.78964694881
CNO_nubb_only_SURF_low_nubb1,105102.2772859361,105112.01964488067
CNO_nubb_only_SNOlab_high_nubb0,473.4385232920101,487.08685222272277
CNO_nubb_only_SNOlab_high_nubb0.0001,483.90254884733594,497.5508777780486
CNO_nubb_only_SNOlab_high_nubb0.001,578.0787788452681,591.7271077759802
CNO_nubb_only_SNOlab_high_nubb0.01,1519.841078824587,1533.4894077552992
CNO_nubb_only_SNOlab_high_nubb0.1,10937.464078617773,10951.11240754849
CNO_nubb_only_SNOlab_high_nubb1,105113.69407654964,105127.34240548039
CNO_nubb_only_SNOlab_low_nubb0,462.0223045454821,471.76466349007046
CNO_nubb_only_SNOlab_low_nubb0.0001,472.48633010080795,482.2286890453961
CNO_nubb_only_SNOlab_low_nubb0.001,566.6625600987401,576.404919043328
CNO_nubb_only_SNOlab_low_nubb0.01,1508.4248600780586,1518.1672190226468
CNO_nubb_only_SNOlab_low_nubb0.1,10926.047859871245,10935.79021881583
CNO_nubb_only_SNOlab_low_nubb1,105102.27785780311,105112.02021674768
CNO_all_CJPL_high_nubb0,2539.740064442887,2553.3883933735983
CNO_all_CJPL_high_nubb0.0001,2550.2040899982117,2563.852418928924
CNO_all_CJPL_high_nubb0.001,2644.380319996142,2658.0286489268565
CNO_all_CJPL_high_nubb0.01,3586.1426199754624,3599.7909489061763
CNO_all_CJPL_high_nubb0.1,13003.765619768647,13017.413948699366
CNO_all_CJPL_high_nubb1,107179.99561770057,107193.64394663126
CNO_all_CJPL_low_nubb0,2528.323845696359,2538.066204640948
CNO_all_CJPL_low_nubb0.0001,2538.787871251684,2548.5302301962724
CNO_all_CJPL_low_nubb0.001,2632.964101249616,2642.706460194202
CNO_all_CJPL_low_nubb0.01,3574.7264012289347,3584.4687601735245
CNO_all_CJPL_low_nubb0.1,12992.349401022126,13002.091759966712
CNO_all_CJPL_low_nubb1,107168.57939895403,107178.32175789856
