,null_sum,alter_sum
atm_CJPL_high,0.0028755656936856203,0.008037812093510106
atm_CJPL_low,0.0028762572823922,0.008038503682216685
atm_Kamioka_high,0.003483775964383706,0.010487231411791443
atm_Kamioka_low,0.003486593359508611,0.010490048806916352
atm_LNGS_high,0.004901362904320479,0.015588302562596832
atm_LNGS_low,0.004910136918557356,0.015597076576833712
atm_SURF_high,0.006115277264533296,0.022153267330799493
atm_SURF_low,0.006126049521778554,0.02216403958804475
atm_SNOlab_high,0.006113667908252923,0.02229411338761637
atm_SNOlab_low,0.006124412905068687,0.022304858384432136
hep_CJPL_high,19.744822601840667,19.9822793424954
hep_CJPL_low,16.24442973257581,16.489860766760767
hep_Kamioka_high,19.745971549373383,19.98342829002811
hep_Kamioka_low,16.245578680108526,16.49100971429348
hep_LNGS_high,19.7476108163577,19.98506755701243
hep_LNGS_low,16.247217947092842,16.4926489812778
hep_SURF_high,19.750503344093815,19.987960084748543
hep_SURF_low,16.25011047482896,16.495541509013915
hep_SNOlab_high,19.750503215881754,19.98795995653648
hep_SNOlab_low,16.250110346616893,16.495541380801846
dsnb_CJPL_high,0.0032569213478578127,0.00538049648497718
dsnb_CJPL_low,0.0032748127069539426,0.0053983878440733105
dsnb_Kamioka_high,0.003811422505980287,0.005934997643099654
dsnb_Kamioka_low,0.003829313865076416,0.005952889002195783
dsnb_LNGS_high,0.0046391227484299715,0.0067626978855493385
dsnb_LNGS_low,0.004657014107526101,0.006780589244645469
dsnb_SURF_high,0.0060706367510335625,0.00819421188815293
dsnb_SURF_low,0.006088528110129693,0.00821210324724906
dsnb_SNOlab_high,0.0061068873869141995,0.008230462524033566
dsnb_SNOlab_low,0.00612477874601033,0.008248353883129696
