,Er_range allDSNBMethod2,Er_range noelsebgMethod2,Er_range lessatmbgMethod2,Er_range lessatmlesselseMethod2
CJPL_high_,1.0-350.0,20.167-350.0,1.0-12.851,17.355-31.648
CJPL_high_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-12.851,17.355-31.648
CJPL_low_,1.0-350.0,20.167-350.0,1.0-12.851,17.355-31.648
CJPL_low_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-12.851,17.355-31.648
Kamioka_high_,1.0-350.0,20.167-350.0,1.0-11.059,17.355-27.234
Kamioka_high_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-8.189,17.355-31.648
Kamioka_low_,1.0-350.0,20.167-350.0,1.0-11.059,17.355-27.234
Kamioka_low_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-8.189,17.355-31.648
LNGS_high_,1.0-350.0,20.167-350.0,1.0-9.517,17.355-23.436
LNGS_high_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-27.234
LNGS_low_,1.0-350.0,20.167-350.0,1.0-9.517,17.355-23.436
LNGS_low_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-27.234
SURF_high_,1.0-350.0,20.167-350.0,1.0-7.047,17.355-20.167
SURF_high_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-20.167
SURF_low_,1.0-350.0,20.167-350.0,1.0-7.047,17.355-20.167
SURF_low_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-20.167
SNOlab_high_,1.0-350.0,20.167-350.0,1.0-7.047,17.355-20.167
SNOlab_high_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-20.167
SNOlab_low_,1.0-350.0,20.167-350.0,1.0-7.047,17.355-20.167
SNOlab_low_NR_Argon_tot_smear0.1,6.064-350.0,31.648-350.0,6.064-7.047,17.355-20.167
