,CJPL,Kamioka,LNGS,SURF,SNOlab
0,"(9.0, 13.0, 3.647, 3.674, 1, 1)","(9.0, 13.0, 3.62, 3.647, 1, 1)","(9.0, 13.0, 3.566, 3.593, 1, 1)","(9.0, 13.0, 3.539, 3.566, 1, 1)","(9.0, 13.0, 3.539, 3.566, 1, 1)"
1,"(13.0, 17.0, 3.566, 3.593, 1, 1)","(9.0, 13.0, 3.647, 3.674, 1, 1)","(9.0, 13.0, 3.593, 3.62, 1, 1)","(9.0, 13.0, 3.566, 3.593, 1, 1)","(9.0, 13.0, 3.566, 3.593, 1, 1)"
2,"(13.0, 17.0, 3.593, 3.62, 1, 1)","(13.0, 17.0, 3.512, 3.539, 1, 1)","(9.0, 13.0, 3.62, 3.647, 1, 1)","(9.0, 13.0, 3.593, 3.62, 1, 1)","(9.0, 13.0, 3.593, 3.62, 1, 1)"
3,"(13.0, 17.0, 3.62, 3.647, 1, 1)","(13.0, 17.0, 3.539, 3.566, 1, 1)","(9.0, 13.0, 3.647, 3.674, 1, 1)","(9.0, 13.0, 3.62, 3.647, 1, 1)","(9.0, 13.0, 3.62, 3.647, 1, 1)"
4,"(13.0, 17.0, 3.647, 3.674, 1, 1)","(13.0, 17.0, 3.566, 3.593, 1, 1)","(9.0, 13.0, 3.674, 3.701, 1, 1)","(9.0, 13.0, 3.647, 3.674, 1, 1)","(9.0, 13.0, 3.647, 3.674, 1, 1)"
5,"(13.0, 17.0, 3.674, 3.701, 1, 1)","(13.0, 17.0, 3.593, 3.62, 1, 1)","(9.0, 13.0, 3.701, 3.728, 1, 1)","(9.0, 13.0, 3.674, 3.701, 1, 1)","(9.0, 13.0, 3.674, 3.701, 1, 1)"
6,"(17.0, 21.0, 3.431, 3.458, 1, 1)","(13.0, 17.0, 3.62, 3.647, 1, 1)","(13.0, 17.0, 3.485, 3.512, 1, 1)","(9.0, 13.0, 3.701, 3.728, 1, 1)","(9.0, 13.0, 3.701, 3.728, 1, 1)"
7,"(17.0, 21.0, 3.458, 3.485, 1, 1)","(13.0, 17.0, 3.647, 3.674, 1, 1)","(13.0, 17.0, 3.512, 3.539, 1, 1)","(13.0, 17.0, 3.431, 3.458, 1, 1)","(13.0, 17.0, 3.431, 3.458, 1, 1)"
8,"(17.0, 21.0, 3.485, 3.512, 1, 1)","(13.0, 17.0, 3.674, 3.701, 1, 1)","(13.0, 17.0, 3.539, 3.566, 1, 1)","(13.0, 17.0, 3.458, 3.485, 1, 1)","(13.0, 17.0, 3.458, 3.485, 1, 1)"
9,"(17.0, 21.0, 3.512, 3.539, 1, 1)","(13.0, 17.0, 3.701, 3.728, 1, 1)","(13.0, 17.0, 3.566, 3.593, 1, 1)","(13.0, 17.0, 3.485, 3.512, 1, 1)","(13.0, 17.0, 3.485, 3.512, 1, 1)"
