,hep
0,"(1.0, 3.4, 1.9, 2.11, 1, 1)"
1,"(1.0, 3.4, 2.11, 2.32, 1, 1)"
2,"(1.0, 3.4, 2.32, 2.53, 1, 1)"
3,"(1.0, 3.4, 2.53, 2.74, 1, 1)"
4,"(1.0, 3.4, 2.74, 2.95, 1, 1)"
5,"(1.0, 3.4, 2.95, 3.16, 1, 1)"
6,"(1.0, 3.4, 3.16, 3.37, 1, 1)"
7,"(1.0, 3.4, 3.37, 3.58, 1, 1)"
8,"(3.4, 5.8, 1.9, 2.11, 1, 1)"
9,"(3.4, 5.8, 2.11, 2.32, 1, 1)"
10,"(3.4, 5.8, 2.32, 2.53, 1, 1)"
11,"(3.4, 5.8, 2.53, 2.74, 1, 1)"
12,"(3.4, 5.8, 2.74, 2.95, 1, 1)"
13,"(3.4, 5.8, 2.95, 3.16, 1, 1)"
14,"(3.4, 5.8, 3.16, 3.37, 1, 1)"
15,"(3.4, 5.8, 3.37, 3.58, 1, 1)"
16,"(5.8, 8.2, 1.9, 2.11, 1, 1)"
17,"(5.8, 8.2, 2.11, 2.32, 1, 1)"
18,"(5.8, 8.2, 2.32, 2.53, 1, 1)"
19,"(5.8, 8.2, 2.53, 2.74, 1, 1)"
20,"(5.8, 8.2, 2.74, 2.95, 1, 1)"
21,"(5.8, 8.2, 2.95, 3.16, 1, 1)"
22,"(5.8, 8.2, 3.16, 3.37, 1, 1)"
23,"(5.8, 8.2, 3.37, 3.58, 1, 1)"
24,"(8.2, 10.6, 2.11, 2.32, 1, 1)"
25,"(8.2, 10.6, 2.32, 2.53, 1, 1)"
26,"(8.2, 10.6, 2.53, 2.74, 1, 1)"
27,"(8.2, 10.6, 2.74, 2.95, 1, 1)"
28,"(8.2, 10.6, 2.95, 3.16, 1, 1)"
29,"(8.2, 10.6, 3.16, 3.37, 1, 1)"
30,"(8.2, 10.6, 3.37, 3.58, 1, 1)"
31,"(10.6, 13.0, 2.53, 2.74, 1, 1)"
32,"(10.6, 13.0, 2.74, 2.95, 1, 1)"
33,"(10.6, 13.0, 2.95, 3.16, 1, 1)"
34,"(10.6, 13.0, 3.16, 3.37, 1, 1)"
35,"(10.6, 13.0, 3.37, 3.58, 1, 1)"
